poster_path,title,release_date,overview,popularity,original_title,backdrop_path,vote_count,video,adult,vote_average,original_language,id,genre_ids,year,imdb_id,imdb_title,runtime,director,aspect_ratio
/sPznOfzPXNaorzFrViGN2jOddgs.jpg,The Pyramid,12/4/2014,"A team of U.S. archaeologists unearths an ancient pyramid buried deep beneath the Egyptian desert. As they search the pyramid's depths, they become hopelessly lost in its dark and endless catacombs. Searching for a way out, they become desperate to seek daylight again. They come to realize they aren't just trapped, they are being hunted.",3.017258,The Pyramid,/oRvtAJ5A0PqI3aKu23HyacjaQUz.jpg,295,FALSE,FALSE,4.6,en,282813,[27],2014,2799166,The Pyramid,89,Gr??gory Levasseur,2.35 : 1
,Puthran,4/9/2014,,1.026224,Puthran,,0,FALSE,FALSE,0,en,263908,[10751],2014,4946776,Pithavinum Puthranum,95,Deepesh T,
/A8wcpBxptvhCmCIZvBwUlDxrcmP.jpg,Days and Nights,9/26/2014,"Reckless desire wreaks havoc over Memorial Day weekend as a family confronts the volatile and fragile nature of love. A modern retelling of Anton Chekhov's ""The Seagull"", set in rural New England.",1.27751,Days and Nights,/67vPGIKCk7CE5fc5MOfmwd2Nc3l.jpg,7,FALSE,FALSE,4,en,241432,[18],2014,2359381,Days and Nights,92,Christian Camargo,1.85 : 1
/dBNqjzpesMO7QfK1zRERoXUzJKw.jpg,Elephant Song,9/4/2014,A psychiatrist is drawn into a complex mind game when he questions a disturbed patient about the disappearance of a colleague.,1.239072,Elephant Song,/h7y5tVwWG6nxlFphzSPCNl4YlDF.jpg,29,FALSE,FALSE,7,en,285841,[18],2014,3754976,Elephant Song,110,Charles Binam??,
/nU6Cs1pozL4LqRKSUgBGc7cluwi.jpg,Love Is Strange,2/7/2014,"After 39 years together, Ben and George finally tie the knot, but George loses his job as a result, and the newlyweds must sell their New York apartment and live apart, relying on friends and family to make ends meet.",1.743629,Love Is Strange,/p85H2qMw12VNzKcqt0PpJ0YAwb2.jpg,90,FALSE,FALSE,6.3,en,244268,[18],2014,2639344,Love Is Strange,94,Ira Sachs,1.85 : 1
,How Bizarre: The Story of an Otara Millionaire,8/25/2014,"How Bizarre starts with Pauly at the height of his fame, appearing twice on the UK music show ???Top of the Pops???, sharing the stage with Cher, the Spice Girls, Bryan Adams, Back Street Boys, Sheryl Crow and other ???90s music icons, and then rewinds to show his rise from the mean streets of Otara to musical stardom.",1.03203,How Bizarre: The Story of an Otara Millionaire,,0,FALSE,FALSE,0,en,289123,[99],2014,6485712,How Bizarre: The Story of an Otara Millionaire,52,Stuart Page,
/lyGjHaLMVNuwrxkqrJvMjXceRAU.jpg,Jackie & Ryan,9/1/2014,A modern day train hopper fighting to be a successful musician and a single mom battling to maintain custody of her daughter defy their circumstances by coming together in a relationship that may change each others lives forever.,1.472373,Jackie & Ryan,/esNzfoM8mbGFQP4Edq9NdwciarT.jpg,34,FALSE,FALSE,5.5,en,289891,[18],2014,3270108,Jackie & Ryan,90,Ami Canaan Mann,
/2HHi4T5xXBk9rfzpGeskzcYcJFD.jpg,Elf: Buddy's Musical Christmas,12/16/2014,Santa narrates the story of Buddy's travels to New York City to meet the father he never knew he had. Along the way his unrelenting cheer transforms the lives of everyone he meets and opens his father's eyes to the magic of Christmas.,1.197196,Elf: Buddy's Musical Christmas,/finqvPRf8WjxwZkUquaRWQZ2BVq.jpg,9,FALSE,FALSE,4.4,en,312100,"[14, 10770, 10751, 16]",2014,4147830,Elf: Buddy's Musical Christmas,43,Mark Caballero,
/ocu7wWQsvRSN7y8jG7ZTlMjwa4K.jpg,Anatomy of Deception,11/2/2014,"A district attorney who, tapped to replace the outgoing mayor, is stalked by a man who engineers her fall from grace, leading her to push back and beat him at his own game.",1.176009,Anatomy of Deception,/pwkzAYuMkNmHcWgrh7sObjnBjN6.jpg,2,FALSE,FALSE,5.3,en,301297,"[53, 18]",2014,2672660,Anatomy of Deception,85,Brian Skiba,1.78 : 1
/eMgKUc8UJ96j23syl2KkNPyUHF7.jpg,Scooby-Doo! Frankencreepy,8/19/2014,"Scooby-Doo and those ""meddling kids"" Shaggy, Fred, Daphne and Velma are back in this all-new original movie! Velma discovers she's inherited her great-great-uncle Dr. Von Dinkenstein???s cursed castle in the terrifying town of Transylvania??_Pennsylvania, that is. Just when the Gang persuades Velma to go claim her inheritance, the ghost of Dinkenstein Castle blows up the Mystery Machine as a warning! Now the Crew must spring back into action, but this time it's personal! Who's responsible for the Dinkenstein monster? What family secret has Velma been hiding? Will Fred recover from the loss of his beloved Mystery Machine? Can any helpless snack survive Scooby and Shaggy's monster-sized appetites? This Scooby-Doo adventure has enough spooky fun to make the whole family come alive!",1.257058,Scooby-Doo! Frankencreepy,/c1uIDZZGTCv1CRbErLtwpueyerz.jpg,8,FALSE,FALSE,6.5,en,284995,"[9648, 16, 10751]",2014,3919322,Scooby-Doo! Frankencreepy,74,Paul McEvoy,1.78 : 1
/fJ9wX5BzJL4p5R5x8y7SjZOuEoO.jpg,A Girl Walks Home Alone at Night,1/19/2014,"In the Iranian ghost-town Bad City, a place that reeks of death and loneliness, the townspeople are unaware they are being stalked by a lonesome vampire.",1.698404,A Girl Walks Home Alone at Night,/u1jWWdqz8eDKzCxYPxBLD2q5QGW.jpg,210,FALSE,FALSE,6.9,en,252171,"[27, 10749]",2014,2326554,A Girl Walks Home Alone at Night,101,Ana Lily Amirpour,2.35 : 1
/2pfrKnctbBRrgAmXoAgNCkWUEVb.jpg,Da Sweet Blood of Jesus,6/22/2014,A movie about human beings who are addicted to blood.,1.031899,Da Sweet Blood of Jesus,/f9OxxSbQu2FudP0ziot7CRVefqo.jpg,11,FALSE,FALSE,4.3,en,278316,"[53, 35, 10749]",2014,3104930,Da Sweet Blood of Jesus,123,Spike Lee,2.35 : 1
/b9YNJaIqkA2zoNdP4ORtpVMnmVo.jpg,Before We Go,9/11/2014,A woman who is robbed on her way to catch the 1:30 train to Boston is left stranded in New York City. She meets a man who helps her during the course of the night and the two form a romance.,1.80486,Before We Go,/5Crlde8Sl9a3xaDXYtqA9cW4o8n.jpg,380,FALSE,FALSE,6.4,en,283350,"[18, 10749, 35]",2014,443465,Before We Go (I),95,Chris Evans,1.78 : 1
/eIHrBHeqfQodgEjSPdZWh9b5lV3.jpg,The Legend of Hercules,1/10/2014,"In Ancient Greece 1200 B.C., a queen succumbs to the lust of Zeus to bear a son promised to overthrow the tyrannical rule of the king and restore peace to a land in hardship. But this prince, Hercules, knows nothing of his real identity or his destiny. He desires only one thing: the love of Hebe, Princess of Crete, who has been promised to his own brother. When Hercules learns of his greater purpose, he must choose: to flee with his true love or to fulfill his destiny and become the true hero of his time. The story behind one of the greatest myths is revealed in this action-packed epic - a tale of love, sacrifice and the strength of the human spirit.",2.369467,The Legend of Hercules,/5W1jTxgPcoTKbXLb0fgMDrbphpH.jpg,453,FALSE,FALSE,4.3,en,188207,"[28, 12]",2014,1043726,The Legend of Hercules,99,Renny Harlin,2.35 : 1
/vYbCF0Hn6f4kVtOtVF3FiktiiXd.jpg,Under the Skin,3/14/2014,"Jonathan Glazer's atmospheric, visually arresting abstraction stars Scarlett Johansson as a seductive alien who prowls the streets of Glasgow in search of prey: unsuspecting men who fall under her spell, only to be consumed by a strange liquid pool.",3.639264,Under the Skin,/cGOnS9rVOPXsyUwVUfTQP5yi3Ti.jpg,891,FALSE,FALSE,6,en,97370,"[53, 878, 18]",2014,4799038,Under the Skin,72,C??cile Allegra,
/8aQrpjPizZbP7unUPQ989dHEd3d.jpg,Watchdog,9/4/2014,"???Dog,??? an ex-militiaman granted amnesty by the government, is now an assassin for hire. One of his missions leads him to a Christian church where he meets Milagros, an adolescent towards whom he feels a strange attraction. Among prayers, tears, and assassinations, the voice of the temple???s apostle prompts Dog to question his own raison d?????tre. His gun is on the verge of becoming a sword of God",1.013261,Perro guardi??n,,1,FALSE,FALSE,5,en,290646,[53],2014,4041514,Watchdogs,14,Aditya Krishna,
/bxDby1r6WW3HyWzA9vd8uCMG9E6.jpg,Muppets Most Wanted,3/20/2014,"While on a grand world tour, The Muppets find themselves wrapped into an European jewel-heist caper headed by a Kermit the Frog look-alike and his dastardly sidekick.",1.635271,Muppets Most Wanted,/j5KtmMiOzLlyW0VWVP74exW3N5F.jpg,267,FALSE,FALSE,6.2,en,145220,"[35, 12, 80, 10751]",2014,2281587,Muppets Most Wanted,107,James Bobin,1.85 : 1
/xvRyoVkOxPSQmfuqZLpmo2CcXHj.jpg,Art as a Weapon,6/12/2014,"Street art, creativity and revolution collide in this beautifully shot film about art???s ability to create change. The story opens on the politically charged Thailand/Burma border at the first school teaching street art as a form of non-violent struggle. The film follows two young girls (Romi &amp; Yi-Yi) who have escaped 50 years of civil war in Burma to pursue an arts education in Thailand. Under the threat of imprisonment and torture, the girls use spray paint and stencils to create images in public spaces to let people know the truth behind Burma's transition toward ""artificial democracy."" Eighty-two hundred miles away, artist Shepard Fairey is painting a 30??? mural of a Burmese monk for the same reasons and in support of the students' struggle in Burma. As these stories are inter-cut, the film connects these seemingly unrelated characters around the concept of using art as a weapon for change.",1.084501,Art as a Weapon,,3,FALSE,FALSE,6,en,277765,"[12, 99]",2014,0,,,,
